Un trabajador fue despedido sin justificación después de 10 años de servicio continuo. ¿Qué derechos y compensaciones le corresponden según la legislación guatemalteca?,"Según el Código de Trabajo de Guatemala, el trabajador tiene derecho a una indemnización por despido injustificado que consiste en un mes de salario por cada año de servicio continuo. Además, debe recibir el pago de su aguinaldo, bono 14 proporcional, vacaciones acumuladas y cualquier salario pendiente."
Una mujer empleada en una fábrica se entera de que está recibiendo un salario inferior al de sus colegas varones que realizan el mismo trabajo. ¿Qué mecanismos legales puede utilizar para reclamar la igualdad salarial?,"Según la Ley de Desarrollo Social (Decreto 42-2001), y el Código de Trabajo, la empleada puede presentar una queja ante el Ministerio de Trabajo y Previsión Social, argumentando discriminación salarial por género. El empleador está obligado a corregir la desigualdad y pagar la diferencia retroactiva. También puede acudir a instancias judiciales si no obtiene una solución favorable."
Una comunidad indígena descubre que una empresa minera ha comenzado operaciones en su territorio sin consulta previa. ¿Qué protecciones legales tienen y qué acciones pueden tomar?,"El Convenio 169 de la OIT y la Constitución de Guatemala garantizan el derecho de los pueblos indígenas a ser consultados sobre cualquier proyecto que afecte sus tierras. La comunidad puede presentar una denuncia ante la Corte de Constitucionalidad y el Ministerio de Energía y Minas para exigir la suspensión de las actividades mineras hasta que se realice una consulta previa, libre e informada."
Una mujer víctima de violencia doméstica busca protección legal y justicia. ¿Cuáles son los pasos que debe seguir según la ley guatemalteca?,"La víctima puede presentar una denuncia ante el Ministerio Público o la Policía Nacional Civil. Según el Decreto 97-96 y la Ley Contra el Femicidio y Otras Formas de Violencia Contra la Mujer (Decreto 22-2008), se pueden emitir medidas de protección inmediatas, como órdenes de restricción contra el agresor, acceso a refugios seguros y asistencia legal y psicológica. El caso será investigado y procesado judicialmente."
Una empresa fue demandada por discriminación racial después de no contratar a varios candidatos indígenas calificados. ¿Qué normativas legales se aplican y qué sanciones podría enfrentar la empresa?,"La Ley Contra la Discriminación Racial, Étnica y Religiosa (Decreto 81-2002) prohíbe toda forma de discriminación en el ámbito laboral. La empresa puede enfrentar sanciones administrativas, multas y la obligación de implementar políticas de no discriminación. Además, los candidatos pueden presentar una demanda civil por daños y perjuicios."
Un niño fue expulsado de la escuela por no pagar la cuota escolar. ¿Qué derechos tiene según la legislación guatemalteca?,"Según la Ley de Educación Nacional (Decreto 12-91) y la Constitución, todos los niños tienen derecho a la educación. La escuela no puede expulsar a un niño por motivos económicos. Los padres pueden presentar una queja ante el Ministerio de Educación, que debe garantizar la reintegración del niño a la escuela."
Una empleada solicita licencia por maternidad y es despedida al día siguiente. ¿Qué protecciones legales tiene y qué compensaciones puede reclamar?,"La Ley de Protección Integral de la Niñez y Adolescencia (Decreto 27-2003) y el Código de Trabajo prohíben el despido de una mujer embarazada o en licencia de maternidad. La empleada puede presentar una queja ante el Ministerio de Trabajo y Previsión Social y demandar reinstalación inmediata y compensaciones por despido injustificado, así como daños y perjuicios."
Un trabajador guatemalteco en el extranjero es explotado laboralmente y necesita ayuda. ¿Qué mecanismos de protección existen para ciudadanos guatemaltecos fuera del país?,"La Ley de Protección al Migrante y su Familia (Decreto 10-2015) establece que el Ministerio de Relaciones Exteriores y los consulados guatemaltecos deben brindar asistencia y protección legal a los ciudadanos en el extranjero. El trabajador puede contactar al consulado más cercano para recibir apoyo, asesoría legal y ayuda para contactar a las autoridades locales."
Una comunidad descubre que una empresa farmacéutica ha estado realizando pruebas de medicamentos sin consentimiento informado. ¿Qué acciones legales pueden tomar?,"Según el Código de Salud y acuerdos internacionales de bioética, cualquier prueba médica sin consentimiento informado es ilegal. La comunidad puede presentar quejas ante el Ministerio de Salud Pública y Asistencia Social, así como ante instancias judiciales, para detener las pruebas y buscar compensaciones por daños."
Un individuo falsifica documentos para obtener un préstamo. ¿Cuáles son las consecuencias legales según el Código Penal guatemalteco?,"Falsificar documentos es un delito penal conforme al Código Penal de Guatemala. El individuo puede enfrentar cargos por falsificación, uso de documentos falsificados y fraude. Las penas pueden incluir multas y prisión, dependiendo de la gravedad del delito y el monto del perjuicio."
